hero_id,official_name,primary_attr,attack_type,roles,legs,name_id,pros,cons,base_strength,add_strength,lvl30_strength,base_agility,add_agility,lvl30_agility,base_intelligence,add_intelligence,lvl30_intelligence,bio,bad_against,good_against,work_well_with,link,attribute,image_src
1,Anti-Mage,agi,Melee,"['Carry', 'Escape', 'Nuker']",2,antimage,"Extremely mobile and hard to catch.
High attack speed and farming speed.
Excels against heroes who rely on mana.
Reflects spells and projectiles.
High magic resistance.
Extremely annoying and constant split push which is hard to deal with.","Low stat gain.
Low health and mana.
Reliant on Battle Fury to farm.
Very reliant on farm to scale.
Needs a decent support in lane to get good farm.
Easy to be shut down in the early game.
Struggles against gankers that can disable if overextended.
Extremely useless when unfarmed and/or when played from behind.
Countered by heroes who aren't 100% dependent to mana, such as
Countered by heroes with high health pools.",19.0,1.6,65.4,24.0,2.8,105.2,12.0,1.8,64.2,"Anti-MageLink.
▶️.
 .
""They who live by the wand shall die by my blade.""
.

.
Lore.
:.

.
The monks of Turstarkuri watched the rugged valleys below their mountain monastery as wave after wave of invaders swept through the lower kingdoms. Ascetic and pragmatic, in their remote monastic eyrie they remained aloof from mundane strife, wrapped in meditation that knew no gods or elements of magic. Then came the Legion of the Dead God, crusaders with a sinister mandate to replace all local worship with their unliving lord's poisonous nihilosophy. From a landscape that had known nothing but blood and battle for a thousand years, they tore the souls and bones of countless fallen legions and pitched them against Turstarkuri. The monastery stood scarcely a fortnight against the assault, and the few monks who bothered to surface from their meditations believed the invaders were but demonic visions sent to distract them from meditation. They died where they sat on their silken cushions. Only one youth survived--a pilgrim who had come as an acolyte, seeking wisdom, but had yet to be admitted to the monastery. He watched in horror as the monks to whom he had served tea and nettles were first slaughtered, then raised to join the ranks of the Dead God's priesthood. With nothing but a few of Turstarkuri's prized dogmatic scrolls, he crept away to the comparative safety of other lands, swearing to obliterate not only the Dead God's magic users--but to put an end to magic altogether..

.

.

.
Alias:.

.
AM.

.

.

.
Voice:.

.
Sam A. Mowry.
  (.
Responses.
).

.

","['Axe', 'Bane', 'Disruptor', 'Doom', 'Grimstroke', 'Legion Commander', 'Meepo', 'Night Stalker', 'Outworld Destroyer', 'Phantom Assassin', 'Puck', 'Slardar', 'Slark', 'Shadow Demon', 'Templar Assassin', 'Troll Warlord', 'Viper']","['Ancient Apparition', 'Abaddon', 'Arc Warden', 'Bristleback', 'Clockwerk', 'Dragon Knight', 'Elder Titan', 'Medusa', 'Ogre Magi', 'Phoenix', 'Pugna', 'Rubick', 'Spectre', 'Storm Spirit', 'Tidehunter', 'Undying', 'Venomancer', 'Windranger', 'Wraith King', 'Zeus']","['Bane', 'Bounty Hunter', 'Dazzle', 'Dark Seer', 'Lion', 'Magnus', 'Oracle', 'Shadow Demon', 'Slardar', 'Treant Protector']",https://dota2.fandom.com/wiki/Anti-Mage,Agility,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/8e/Anti-Mage_icon.png/revision/latest
2,Axe,str,Melee,"['Initiator', 'Durable', 'Disabler', 'Carry']",2,axe,"Powerful ganker once he gets his
Great at contesting Outposts, a very important quality.
Very fast movement speed with Battle Hunger active.
Can farm lanes and the jungle very quickly.
Almost completely unaffected by spell immunity.
Very resistant to physical damage.
Good strength and agility gain.
Good counter against low HP physical carries.","May have a hard time against ranged heroes in lane.
Hard to play against high health pool supports.
Small mana pool.",25.0,2.8,106.2,20.0,2.0,78.0,18.0,1.6,64.4,"Mogul Khan, the AxeLink.
▶️.
 .
""Axe is all the reinforcement this army needs!""
.

.
Lore.
:.

.
As a grunt in the Army of Red Mist, Mogul Khan set his sights on the rank of Red Mist General. In battle after battle he proved his worth through gory deed. His rise through the ranks was helped by the fact that he never hesitated to decapitate a superior. Through the seven year Campaign of the Thousand Tarns, he distinguished himself in glorious carnage, his star of fame shining ever brighter, while the number of comrades in arms steadily dwindled. On the night of ultimate victory, Axe declared himself the new Red Mist General, and took on the ultimate title of 'Axe.' But his troops now numbered zero. Of course, many had died in battle, but a significant number had also fallen to Axe's blade. Needless to say, most soldiers now shun his leadership. But this matters not a whit to Axe, who knows that a one-man army is by far the best..

.

.

.
Voice:.

.
Jon St. John.
  (.
Responses.
).

.

","['Doom', 'Jakiro', 'Necrophos', 'Night Stalker', 'Outworld Destroyer', 'Phoenix', 'Pugna', 'Shadow Demon', 'Ursa', 'Venomancer', 'Viper']","['Abaddon', 'Anti-Mage', 'Broodmother', 'Dazzle', 'Huskar', 'Morphling', ""Nature's Prophet"", 'Phantom Assassin', 'Phantom Lancer', 'Slark', 'Terrorblade', 'Troll Warlord', 'Weaver']","['Ancient Apparition', 'Dark Seer', 'Dazzle', 'Enigma', 'Disruptor', 'Luna', 'Magnus', 'Phoenix', 'Sand King', 'Skywrath Mage', 'Tiny', 'Venomancer', 'Witch Doctor']",https://dota2.fandom.com/wiki/Axe,Strength,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/23/Axe_icon.png/revision/latest
3,Bane,all,Ranged,"['Support', 'Disabler', 'Nuker', 'Durable']",4,bane,"Long disabling time.
Excellent starting attributes, good at trading hits in the laning stage.
Hinders attacking carries.
Great laning phase and ganking abilities.
Fiend's Grip pierces spell immunity.
Can cripple physical carries.
Good strength and agility gain.
3 of his abilities deal pure damage.
His basic abilities have short cooldowns and are highly abusable.","No area capabilities, poor against early pushing line ups and illusion heroes.
Low mobility.
Fiend's Grip requires channeling.
Low attack range.
Mediocre intelligence gain for a hero with low-cooldown high-mana-cost spells.",23.0,2.5,95.5,23.0,2.5,95.5,23.0,2.5,95.5,"Atropos, the BaneLink.
▶️.
 .
""I dreamt a field of war…and woke to find myself upon it.""
.

.
Lore.
:.

.
When the gods have nightmares, it is Bane Elemental who brings them. Also known as Atropos, Bane was born from the midnight terrors of the goddess Nyctasha. A force of terror too powerful to be contained by sleep, he surfaced from her slumbers, fed upon her immortality, and stole his vaporous form from her inky blood. He is the essence of fear. Mortals who hear his voice hear their darkest secrets whispered in their ear. He calls to the hidden fear in every Hero's heart. Wakefulness is no protection, for Bane's black blood, continuously dripping, is a tar that traps his enemies in nightmare. In the presence of Bane, every Hero remembers to fear the dark..

.

.

.
Voice:.

.
David Scully.
  (.
Responses.
).

.

","['Abaddon', 'Broodmother', 'Jakiro', 'Luna', 'Pudge', 'Rubick', 'Slark', 'Tidehunter']","['Faceless Void', 'Legion Commander', 'Medusa', 'Phantom Assassin', 'Shadow Fiend']","['Grimstroke', 'Kunkka', 'Mirana', 'Omniknight', 'Pudge', 'Skywrath Mage']",https://dota2.fandom.com/wiki/Bane,Universal,https://static.wikia.nocookie.net/dota2_gamepedia/images/c/c3/Bane_icon.png/revision/latest
4,Bloodseeker,agi,Melee,"['Carry', 'Disabler', 'Nuker', 'Initiator']",2,bloodseeker,"Fast
Regains health by killing enemies.
Good early ganker.
Blood Rite and Rupture deal pure damage.","Lacks
Vulnerable to enemy disables.
Countered by tanks.",24.0,2.7,102.3,22.0,3.1,111.9,17.0,2.0,75.0,"Strygwyr, the BloodseekerLink.
▶️.
 .
""You should be honored to bleed so that the Flayed Ones may live.""
.

.
Lore.
:.

.
Strygwyr the Bloodseeker is a ritually sanctioned hunter, hound of the Flayed Twins, sent down from the mist-shrouded peaks of Xhacatocatl in search of blood. The Flayed Ones require oceanic amounts of blood to keep them sated and placated, and would soon drain their mountain empire of its populace if the priests of the high plateaus did not appease them. Strygwyr therefore goes out in search of carnage. The vital energy of any blood he lets, flows immediately to the Twins through the sacred markings on his weapons and armor. Over the years, he has come to embody the energy of a vicious hound; in battle he is savage as a jackal. Beneath the Mask of the Bloodseeker, in the rush of bloody quenching, it is said that you can sometime see the features of the Flayers taking direct possession of their hound..

.

.

.
Alias:.

.
BS.

.

.

.
Voice:.

.
Jon St. John.
  (.
Responses.
).

.

","['Abaddon', 'Dazzle', 'Ember Spirit', 'Faceless Void', 'Medusa', 'Morphling', 'Omniknight', 'Storm Spirit', 'Tinker', 'Troll Warlord', 'Underlord', 'Wraith King']","['Anti-Mage', 'Clinkz', 'Huskar', 'Lycan', 'Meepo', 'Mirana', 'Pangolier', 'Phoenix', 'Queen of Pain', 'Riki', 'Slark', 'Sniper', 'Timbersaw', 'Vengeful Spirit', 'Weaver', 'Windranger']","['Ancient Apparition', 'Batrider', 'Bounty Hunter', 'Earthshaker', 'Earth Spirit', 'Invoker', 'Jakiro', 'Luna', 'Magnus', ""Nature's Prophet"", 'Phoenix', 'Queen of Pain', 'Venomancer', 'Warlock', 'Zeus']",https://dota2.fandom.com/wiki/Bloodseeker,Agility,https://static.wikia.nocookie.net/dota2_gamepedia/images/5/56/Bloodseeker_icon.png/revision/latest
5,Crystal Maiden,int,Ranged,"['Support', 'Disabler', 'Nuker']",2,crystalmaiden,"Gives team mana regeneration.
Numerous slows with high cast range.
Great at killing jungle creeps to catch up.
Not item dependent.
Extremely potent magical nukes.
Low cooldown spells.","Very fragile.
Horrendous base stats (low movement speed, low damage, low attributes).
Ultimate requires channeling and requires her to be in close range with her enemies.",17.0,2.2,80.8,16.0,1.6,62.4,16.0,3.3,111.7,"Rylai, the Crystal MaidenLink.
▶️.
 .
""When Hell freezes over, I'll start calling it Heaven.""
.

.
Lore.
:.

.
Born in a temperate realm, raised with her fiery older sister .
Lina.
, Rylai the Crystal Maiden soon found that her innate elemental affinity to ice created trouble for all those around her. Wellsprings and mountain rivers froze in moments if she stopped to rest nearby; ripening crops were bitten by frost, and fruiting orchards turned to mazes of ice and came crashing down, spoiled. When their exasperated parents packed Lina off to the equator, Rylai found herself banished to the cold northern realm of Icewrack, where she was taken in by an Ice Wizard who had carved himself a hermitage at the crown of the Blueheart Glacier. After long study, the wizard pronounced her ready for solitary practice and left her to take his place, descending into the glacier to hibernate for a thousand years. Her mastery of the Frozen Arts has only deepened since that time, and now her skills are unmatched..

.

.

.
Aliases:.

.
CM, Rylai.

.

.

.
Voice:.

.
Gin Hammond.
  (.
Responses.
).

.

","['Bounty Hunter', 'Bristleback', 'Clockwerk', 'Doom', 'Earth Spirit', 'Jakiro', 'Legion Commander', 'Luna', 'Naga Siren', 'Nyx Assassin', 'Pudge', 'Tidehunter', 'Tusk', 'Visage']","['Slark', 'Phantom Assassin', 'Templar Assassin', 'Terrorblade']","['Juggernaut', 'Timbersaw', 'Sven']",https://dota2.fandom.com/wiki/Crystal_Maiden,Intelligence,https://static.wikia.nocookie.net/dota2_gamepedia/images/2/27/Crystal_Maiden_icon.png/revision/latest
6,Drow Ranger,agi,Ranged,"['Carry', 'Disabler', 'Pusher']",2,drowranger,"High single target damage.
Good chaser.
Buffs other ranged heroes.
Decent at farming.
Has got 2 semi-disables (powerful slow and silence)","Dependent on attributes.
No escape mechanism.
Fragile, slow, and easily ganked.
Slow attack animation.
Somewhat demands mana.
Ultimate can be disabled if opponents get too close.",16.0,1.9,71.1,20.0,2.9,104.1,15.0,1.4,55.6,"Traxex, the Drow RangerLink.
▶️.
 .
""I walk alone, but the shadows are company enough.""
.

.
Lore.
:.

.
Drow Ranger's given name is Traxex--a name well suited to the short, trollish, rather repulsive Drow people. But Traxex herself is not a Drow. Her parents were travelers in a caravan set upon by bandits, whose noisy slaughter of innocents roused the ire of the quiet Drow people..
After the battle settled, the Drow discovered a small girl-child hiding in the ruined wagons, and agreed she could not be abandoned. Even as child, Traxex showed herself naturally adept at the arts they prized: Stealth, silence, subtlety. In spirit, if not in physique, she might have been a Drow changeling, returned to her proper home. But as she grew, she towered above her family and came to think of herself as ugly. After all,  her features were smooth and symmetrical, entirely devoid of warts and coarse whiskers..
Estranged from her adopted tribe, she withdrew to live alone in the woods. Lost travelers who find their way from the forest sometimes speak of an impossibly beautiful Ranger who peered at them from deep among the trees, then vanished like a dream before they could approach. Lithe and stealthy, icy hot, she moves like mist in silence. That whispering you hear is her frozen arrows finding an enemy's heart..

.

.

.
Voice:.

.
Gin Hammond.
  (.
Responses.
).

.

","['Faceless Void', 'Tinker', 'Arc Warden', 'Tusk', 'Axe', 'Clockwerk', 'Chaos Knight', 'Huskar', 'Lycan', 'Nyx Assassin', 'Omniknight', 'Phantom Lancer', 'Pudge', 'Razor', 'Riki', 'Slark']","['Juggernaut', 'Anti-Mage', 'Clinkz', 'Enigma', 'Morphling', 'Terrorblade', 'Weaver', 'Rubick']","['Medusa', 'Vengeful Spirit']",https://dota2.fandom.com/wiki/Drow_Ranger,Agility,https://static.wikia.nocookie.net/dota2_gamepedia/images/8/80/Drow_Ranger_icon.png/revision/latest
7,Earthshaker,str,Melee,"['Support', 'Initiator', 'Disabler', 'Nuker']",2,earthshaker,"Numerous stuns.
Excellent initiation.
Good early ganking.
Item independent after blink dagger.
High strength gain ,for durability in the late game","Low mana.
Long cast animations.
Easy to harass in lane.
Needs a good early game to snowball.",22.0,3.7,129.3,12.0,1.4,52.6,18.0,2.1,78.9,"Raigor Stonehoof, the EarthshakerLink.
▶️.
 .
""There may be many earths, but there's only one Earthshaker.""
.

.
Lore.
:.

.
Like a golem or gargoyle, Earthshaker was one with the earth but now walks freely upon it. Unlike those other entities, he created himself through an act of will, and serves no other master. In restless slumbers, encased in a deep seam of stone, he became aware of the life drifting freely above him. He grew curious..
During a season of tremors, the peaks of Nishai shook themselves loose of avalanches, shifting the course of rivers and turning shallow valleys into bottomless chasms. When the land finally ceased quaking, Earthshaker stepped from the settling dust, tossing aside massive boulders as if throwing off a light blanket..
He had shaped himself in the image of a mortal beast, and named himself Raigor Stonehoof. He bleeds now, and breathes, and therefore he can die. But his spirit is still that of the earth; he carries its power in the magical totem that never leaves him. And on the day he returns to dust, the earth will greet him as a prodigal son..

.

.

.
Voice:.

.
John Patrick Lowrie.
  (.
Responses.
).

.

","['Clockwerk', 'Death Prophet', 'Disruptor', 'Earth Spirit', 'Jakiro', 'Lifestealer', 'Necrophos', 'Outworld Destroyer', 'Puck', 'Razor', 'Skywrath Mage', 'Sniper', 'Spectre', 'Templar Assassin', 'Venomancer', 'Viper', 'Zeus']","['Broodmother', 'Chaos Knight', 'Enigma', 'Legion Commander', 'Meepo', 'Naga Siren', ""Nature's Prophet"", 'Phantom Lancer', 'Spirit Breaker']","['Dark Seer', 'Enigma', 'Magnus', 'Naga Siren', 'Puck', 'Sand King']",https://dota2.fandom.com/wiki/Earthshaker,Strength,https://static.wikia.nocookie.net/dota2_gamepedia/images/a/a5/Earthshaker_icon.png/revision/latest
8,Juggernaut,agi,Melee,"['Carry', 'Pusher', 'Escape']",2,juggernaut,"High single target damage.
Strong mid game presence.
Can play aggressively in lane.
Farms quickly.
Flexible item build.","Weak against multiple targets.
Falls off somewhat against hard carries in the late game.
Somewhat fragile.
Low mana pool and high mana costs.
Dependence on the ultimate, which has high cooldown.",20.0,2.2,83.8,34.0,2.8,115.2,14.0,1.4,54.6,"Yurnero, the JuggernautLink.
▶️.
 .
""By the Visage of Vengeance, which drowned in the Isle of Masks, I will carry on the rites of the Faceless Ones.""
.

.
Lore.
:.

.
No one has ever seen the face hidden beneath the mask of Yurnero the Juggernaut. It is only speculation that he even has one. For defying a corrupt lord, Yurnero was exiled from the ancient Isle of Masks--a punishment that saved his life. The isle soon after vanished beneath the waves in a night of vengeful magic. He alone remains to carry on the Isle's long Juggernaut tradition, one of ritual and swordplay. The last practitioner of the art, Yurnero's confidence and courage are the result of endless practice; his inventive bladework proves that he has never stopped challenging himself. Still, his motives are as unreadable as his expression. For a hero who has lost everything twice over, he fights as if victory is a foregone conclusion..

.

.

.
Voice:.

.
David Scully.
  (.
Responses.
).

.

","['Axe', 'Bane', 'Chaos Knight', 'Enigma', 'Mars', ""Nature's Prophet"", 'Pugna', 'Omniknight', 'Outworld Destroyer', 'Ursa', 'Pudge', 'Legion Commander', 'Sniper', 'Windranger']","['Dark Willow', 'Enchantress', 'Invoker', 'Keeper of the Light', 'Necrophos', 'Nyx Assassin', 'Phoenix', 'Templar Assassin', 'Zeus']","['Crystal Maiden', 'Lich', 'Dazzle', 'Axe', 'Magnus', 'Shadow Shaman', 'Venomancer', 'Zeus']",https://dota2.fandom.com/wiki/Juggernaut,Agility,https://static.wikia.nocookie.net/dota2_gamepedia/images/0/03/Juggernaut_icon.png/revision/latest
9,Mirana,all,Ranged,"['Carry', 'Support', 'Escape', 'Nuker', 'Disabler']",2,mirana,"Very long range stun.
Team invisibility.
Good escape mechanism.
Good nukes.
Good waveclear.
Can be played in many different roles.
Can very easily flash farm.
Long attack range.","Does not excel at any one role.
Vulnerable to disables, especially silences and roots.
Requires good aim.
Rather squishy.
Mediocre base stats.
Rather meager Strength and Intelligence gain.
Mana intensive.",20.0,1.7,69.3,24.0,2.5,96.5,22.0,1.2,56.8,"Mirana, the Princess of the MoonLink.
▶️.
 .
""How long must we ride before we're summoned again to the Nightsilver Woods?""
.

.
Lore.
:.

.
Born to a royal family, a blood princess next in line for the Solar Throne, Mirana willingly surrendered any claim to mundane land or titles when she dedicated herself completely to the service of Selemene, Goddess of the Moon. Known ever since as Princess of the Moon, Mirana prowls the sacred Nightsilver Woods searching for any who would dare poach the sacred luminous lotus from the silvery pools of the goddess's preserve. Riding on her enormous feline familiar, she is poised, proud and fearless, attuned to the phases of the moon and the wheeling of the greater constellations. Her bow, tipped with sharp shards of lunar ore, draws on the moon's power to charge its arrows of light..

.

.

.
Voice:.

.
Gin Hammond.
  (.
Responses.
).

.

","['Abaddon', 'Arc Warden', 'Bloodseeker', 'Bounty Hunter', 'Broodmother', 'Lina', 'Luna', 'Lycan', 'Meepo', 'Night Stalker', 'Puck', 'Slark', 'Windranger']","['Anti-Mage', 'Crystal Maiden', 'Drow Ranger', 'Techies', 'Witch Doctor']","['Axe', 'Bane', 'Batrider', 'Clockwerk', 'Shadow Demon', 'Sven', 'Underlord']",https://dota2.fandom.com/wiki/Mirana,Universal,https://static.wikia.nocookie.net/dota2_gamepedia/images/1/12/Mirana_icon.png/revision/latest
10,Morphling,agi,Ranged,"['Carry', 'Escape', 'Durable', 'Nuker', 'Disabler']",0,morphling,"Can switch attributes, dealing a ton of damage when overly agile or increasing his survivability tremendously when shifted into a lot of strength.  
Can deal heavy magical burst damage to heroes with

Ability to
Attribute shifting allows comparatively higher gains from cheap healing items, especially ","Low attack range.
Low base intelligence and intelligence gain for a hero with many active spells costing plenty of mana.
Vulnerable to mana-burn.
One of the slowest heroes in the game.
Vulnerable to disables, especially silences.",23.0,3.0,110.0,24.0,3.9,137.1,19.0,1.8,71.2,"MorphlingLink.
▶️.
 .
""You only miss the water when the well runs dry.""
.

.
Lore.
:.

.
For dark eons the comet circled. Held in thrall to a distant sun, bound by gravity’s inexorable pull, the massive ball of ice careened through the blackness between worlds, made strange by its dark journey. On the eve of the ancient war of the Vloy, it punched down through the sky and lit a glowing trail across the night, a sign both armies took for an omen. The frozen ball melted in a flash of boiling heat, as below two forces enjoined in battle across the border of a narrow river. Thus freed from its icy stasis, the Morphling was born into conflict, an elemental power at one with the tides of the ocean, capricious and unconstrained. He entered the fight, instinctively taking the form of the first general who dared set foot across the water, and then struck him dead. As the motley warriors clashed, he shifted from form to form throughout the battle, instantly absorbing the ways of these strange creatures--now a footsoldier, now an archer, now the cavalryman--until, by the time the last soldier fell, Morphling had played every part. The battle's end was his beginning..

.

.

.
Voice:.

.
David Scully.
  (.
Responses.
).

.

","['Ancient Apparition', 'Anti-Mage', 'Arc Warden', 'Earth Spirit', 'Elder Titan', 'Lion', 'Meepo', 'Mirana', 'Outworld Destroyer', 'Phantom Lancer', 'Rubick', 'Skywrath Mage']","['Lifestealer', 'Bloodseeker', 'Clockwerk', 'Drow Ranger', 'Lone Druid', 'Phantom Assassin', 'Windranger', 'Razor', 'Sniper']","['Drow Ranger', 'Earthshaker', 'Tiny', 'Pugna', 'Keeper of the Light', 'Crystal Maiden', 'Dazzle']",https://dota2.fandom.com/wiki/Morphling,Agility,https://static.wikia.nocookie.net/dota2_gamepedia/images/7/7b/Morphling_icon.png//revision/latest
